item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
DEV-HZ-001	[ ]	unclaimed	agent_01	humanize_dev_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
DEV-HZ-002	[ ]	unclaimed	agent_02	humanize_dev_1to1_20260619	02	directory	agents		agents	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
DEV-HZ-003	[ ]	unclaimed	agent_03	humanize_dev_1to1_20260619	03	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
DEV-HZ-004	[ ]	unclaimed	agent_04	humanize_dev_1to1_20260619	04	directory	config		config	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
DEV-HZ-005	[ ]	unclaimed	agent_05	humanize_dev_1to1_20260619	05	directory	docs		docs	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
DEV-HZ-006	[ ]	unclaimed	agent_06	humanize_dev_1to1_20260619	06	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
DEV-HZ-007	[ ]	unclaimed	agent_07	humanize_dev_1to1_20260619	07	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
DEV-HZ-008	[ ]	unclaimed	agent_08	humanize_dev_1to1_20260619	08	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
DEV-HZ-009	[ ]	unclaimed	agent_09	humanize_dev_1to1_20260619	09	directory	skills		skills	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
DEV-HZ-010	[ ]	unclaimed	agent_10	humanize_dev_1to1_20260619	10	directory	templates		templates	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
DEV-HZ-011	[ ]	unclaimed	agent_11	humanize_dev_1to1_20260619	11	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
